Species	Phylum	Class	Order	Family	Genus
s__midas_s_71801	p__Firmicutes	c__Bacilli	o__RF39	f__midas_f_31399	g__midas_g_44478
s__Odoribacter_splanchnicus	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Marinifilaceae	g__Odoribacter
s__Paenibacillus_barengoltzii	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus
s__Parabacteroides_johnsonii	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides
s__Parabacteroides_merdae	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides
s__midas_s_110128	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Paraeggerthella
s__Paraprevotella_clara	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Paraprevotella
s__Parasporobacterium_paucivorans	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Parasporobacterium
s__Parvimonas_micra	p__Firmicutes	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Family_XI	g__Parvimonas
s__midas_s_103248	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Pediococcus
s__Pediococcus_pentosaceus	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Pediococcus
s__Phascolarctobacterium_faecium	p__Firmicutes	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Phascolarctobacterium
s__midas_s_66427	p__Firmicutes	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Phascolarctobacterium
s__midas_s_1057	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium
s__midas_s_49775	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Planococcus
